,PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
0,473,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33.0,1,2,C.A. 34651,27.75,,S,1
1,598,3,"Johnson, Mr. Alfred",male,49.0,0,0,LINE,0.0,,S,0
2,844,3,"Lemberopolous, Mr. Peter L",male,34.5,0,0,2683,6.4375,,C,0
3,113,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,,S,0
4,870,3,"Johnson, Master. Harold Theodor",male,4.0,1,1,347742,11.1333,,S,1
5,839,3,"Chip, Mr. Chang",male,32.0,0,0,1601,56.4958,,S,1
6,576,3,"Patchett, Mr. George",male,19.0,0,0,358585,14.5,,S,0
7,378,1,"Widener, Mr. Harry Elkins",male,27.0,0,2,113503,211.5,C82,C,0
8,665,3,"Lindqvist, Mr. Eino William",male,20.0,1,0,STON/O 2. 3101285,7.925,,S,1
9,85,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,,S,1
10,427,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,1,0,2003,26.0,,S,1
11,693,3,"Lam, Mr. Ali",male,,0,0,1601,56.4958,,S,1
12,91,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,,S,0
13,673,2,"Mitchell, Mr. Henry Michael",male,70.0,0,0,C.A. 24580,10.5,,S,0
14,446,1,"Dodge, Master. Washington",male,4.0,0,2,33638,81.8583,A34,S,1
15,621,3,"Yasbeck, Mr. Antoni",male,27.0,1,0,2659,14.4542,,C,0
16,145,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,,S,0
17,13,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,0
18,753,3,"Vande Velde, Mr. Johannes Joseph",male,33.0,0,0,345780,9.5,,S,0
19,565,3,"Meanwell, Miss. (Marion Ogden)",female,,0,0,SOTON/O.Q. 392087,8.05,,S,0
20,204,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,0
21,387,3,"Goodwin, Master. Sidney Leonard",male,1.0,5,2,CA 2144,46.9,,S,0
22,56,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,1
23,134,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,,S,1
24,554,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22.0,0,0,2620,7.225,,C,1
25,270,1,"Bissette, Miss. Amelia",female,35.0,0,0,PC 17760,135.6333,C99,S,1
26,807,1,"Andrews, Mr. Thomas Jr",male,39.0,0,0,112050,0.0,A36,S,0
27,281,3,"Duane, Mr. Frank",male,65.0,0,0,336439,7.75,,Q,0
28,248,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649,14.5,,S,1
29,455,3,"Peduzzi, Mr. Joseph",male,,0,0,A/5 2817,8.05,,S,0
30,784,3,"Johnston, Mr. Andrew G",male,,1,2,W./C. 6607,23.45,,S,0
31,534,3,"Peter, Mrs. Catherine (Catherine Rizk)",female,,0,2,2668,22.3583,,C,1
32,118,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,,S,0
33,797,1,"Leader, Dr. Alice (Farnham)",female,49.0,0,0,17465,25.9292,D17,S,1
34,170,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,,S,0
35,475,3,"Strandberg, Miss. Ida Sofia",female,22.0,0,0,7553,9.8375,,S,0
36,802,2,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31.0,1,1,C.A. 31921,26.25,,S,1
37,321,3,"Dennis, Mr. Samuel",male,22.0,0,0,A/5 21172,7.25,,S,0
